Date,Open,High,Low,Close,Adj Close,Volume,ticker
1991-11-08,0.2890630066394806,0.2890630066394806,0.2890630066394806,0.2890630066394806,0.2570664584636688,88028800,APH
1991-11-11,0.2890630066394806,0.2890630066394806,0.2890630066394806,0.2890630066394806,0.2570664584636688,11859200,APH
1991-11-12,0.2890630066394806,0.2890630066394806,0.2890630066394806,0.2890630066394806,0.2570664584636688,13097600,APH
1991-11-13,0.2890630066394806,0.2890630066394806,0.28125,0.28125,0.2501182556152344,19059200,APH
1991-11-14,0.2617189884185791,0.2734380066394806,0.2617189884185791,0.2734380066394806,0.24317097663879395,20835200,APH
1991-11-15,0.2734380066394806,0.2734380066394806,0.2578130066394806,0.2578130066394806,0.22927552461624146,21747200,APH
1991-11-18,0.2539060115814209,0.2578130066394806,0.2382809966802597,0.2421880066394806,0.21538010239601135,8873600,APH
1991-11-19,0.2421880066394806,0.25,0.234375,0.2421880066394806,0.21538010239601135,9958400,APH
1991-11-20,0.2460940033197403,0.2460940033197403,0.2421880066394806,0.2460940033197403,0.2188536822795868,972800,APH
1991-11-21,0.2421880066394806,0.2421880066394806,0.234375,0.234375,0.2084318995475769,1683200,APH
1991-11-22,0.234375,0.234375,0.21875,0.2226559966802597,0.19801004230976105,2611200,APH
1991-11-25,0.2265630066394806,0.2421880066394806,0.21875,0.2304690033197403,0.20495815575122833,5657600,APH
1991-11-26,0.234375,0.2382809966802597,0.2304690033197403,0.2304690033197403,0.20495815575122833,3292800,APH
1991-11-27,0.234375,0.2382809966802597,0.234375,0.2382809966802597,0.21190544962882996,3379200,APH
1991-11-29,0.234375,0.2421880066394806,0.234375,0.2421880066394806,0.21538010239601135,985600,APH
1991-12-02,0.2382809966802597,0.2578130066394806,0.2382809966802597,0.2460940033197403,0.2188536822795868,2035200,APH
1991-12-03,0.25,0.2539060115814209,0.2460940033197403,0.2539060115814209,0.22580096125602722,2227200,APH
1991-12-04,0.2578130066394806,0.28125,0.2578130066394806,0.2617189884185791,0.23274919390678406,9824000,APH
1991-12-05,0.2578130066394806,0.2734380066394806,0.2539060115814209,0.2695310115814209,0.2396964281797409,5049600,APH
1991-12-06,0.2695310115814209,0.2695310115814209,0.265625,0.2695310115814209,0.2396964281797409,1449600,APH
1991-12-09,0.2695310115814209,0.2695310115814209,0.265625,0.265625,0.23622272908687592,2358400,APH
1991-12-10,0.2617189884185791,0.2617189884185791,0.2539060115814209,0.2539060115814209,0.22580096125602722,2374400,APH
1991-12-11,0.2539060115814209,0.2578130066394806,0.2460940033197403,0.2460940033197403,0.2188536822795868,1980800,APH
1991-12-12,0.25,0.2578130066394806,0.2421880066394806,0.2539060115814209,0.22580096125602722,1977600,APH
