Attribute,Value
currency,USD
dayHigh,106.16000366210938
dayLow,104.73999786376953
exchange,NMS
fiftyDayAverage,96.74920059204102
lastPrice,106.05999755859375
lastVolume,25236200
marketCap,1356358864414.3125
open,105.73999786376953
previousClose,106.15
quoteType,EQUITY
regularMarketPreviousClose,106.26000213623047
shares,12788599808
tenDayAverageVolume,38849950
threeMonthAverageVolume,32033280
timezone,America/New_York
twoHundredDayAverage,102.16836025238037
yearChange,-0.24916000458448867
yearHigh,144.16250610351562
yearLow,83.44999694824219
